CO2Treatment,Monolith,Date Sampled,Order,AvgDiam.mm,d13C
Ambient,1_2,11/18/10,2,0.4232,-30.3100000000000000
Ambient,1_2,11/18/10,3,0.497,-29.6700000000000000
Ambient,1_2,11/18/10,4,0.8846,-30.4400000000000000
Ambient,1_2,11/18/10,5,0.4019,-30.2900000000000000
Ambient,5_2,11/18/10,1,0.2781,-29.4200000000000000
Ambient,5_2,11/18/10,2,0.4219,-30.0500000000000000
Ambient,5_2,11/18/10,3,0.4815,-30.7400000000000000
Ambient,5_2,11/18/10,4,0.8915,-29.8300000000000000
Ambient,5_2,11/18/10,5,0.4658,-29.4700000000000000
Ambient,6_2,11/18/10,1,0.3806,-28.1000000000000000
Ambient,6_2,11/18/10,2,0.4102,-27.8700000000000000
Ambient,6_2,11/18/10,3,0.6506,-27.5200000000000000
Ambient,6_2,11/18/10,4,0.6037,-27.8400000000000000
Ambient,6_2,11/18/10,5,1.2859,-27.2300000000000000
Ambient,8_1,11/18/10,1,0.3656,-28.6000000000000000
Ambient,8_1,11/18/10,2,0.3565,-28.4500000000000000
Ambient,8_1,11/18/10,3,0.3231,-28.0600000000000000
Ambient,8_1,11/18/10,4,0.3941,-28.9000000000000000
Ambient,8_1,11/18/10,5,0.7702,-28.3900000000000000
Ambient,1_1,11/18/10,1,0.3517,-30.0300000000000000
Ambient,1_1,11/18/10,2,0.3632,-29.6300000000000000
Ambient,1_1,11/18/10,3,0.3732,-29.9700000000000000
Ambient,1_1,11/18/10,4,0.6288,-30.2600000000000000
Ambient,1_1,11/18/10,5,0.8666,-29.7800000000000000
Ambient,5_3,11/18/10,1,0.6645,-29.5900000000000000
Ambient,5_3,11/18/10,2,0.5113,-30.1000000000000000
Ambient,5_3,11/18/10,3,0.4481,-28.6400000000000000
Ambient,5_3,11/18/10,4,0.6486,-29.8200000000000000
Ambient,5_3,11/18/10,5,0.673,-30.0700000000000000
Ambient,6_3,11/18/10,2,0.3909,-29.0800000000000000
Ambient,6_3,11/18/10,3,0.5008,-28.7300000000000000
Ambient,6_3,11/18/10,4,0.6544,-28.6000000000000000
Ambient,8_2,11/18/10,1,0.3684,-27.8800000000000000
Ambient,8_2,11/18/10,2,0.3385,-28.0800000000000000
Ambient,8_2,11/18/10,3,0.4482,-28.6600000000000000
Ambient,8_2,11/18/10,4,0.4486,-28.7100000000000000
Ambient,8_2,11/18/10,5,0.5872,-28.6800000000000000
Elevated,2_2,11/18/10,2,0.3793,-37.5000000000000000
Elevated,2_2,11/18/10,3,0.446,-38.4100000000000000
Elevated,2_2,11/18/10,4,0.8023,-38.2100000000000000
Elevated,2_2,11/18/10,5,1.112,-37.9700000000000000
Elevated,3_2,11/18/10,1,0.3329,-37.2400000000000000
Elevated,3_2,11/18/10,2,0.354,-38.7400000000000000
Elevated,3_2,11/18/10,3,0.4483,-39.9900000000000000
Elevated,3_2,11/18/10,4,0.6323,-40.0100000000000000
Elevated,3_2,11/18/10,5,1.2442,-39.2400000000000000
Elevated,4_3,11/18/10,1,0.3209,-35.4300000000000000
Elevated,4_3,11/18/10,5,1.9731,-40.5000000000000000
Elevated,7_2,11/18/10,1,0.3373,-36.0800000000000000
Elevated,7_2,11/18/10,2,0.3527,-36.9700000000000000
Elevated,7_2,11/18/10,3,0.4152,-37.2600000000000000
Elevated,7_2,11/18/10,4,0.4802,-38.1300000000000000
Elevated,7_2,11/18/10,5,0.5939,-36.8100000000000000
Elevated,2_3,11/18/10,1,0.3876,-40.8200000000000000
Elevated,2_3,11/18/10,2,0.3194,-39.8200000000000000
Elevated,2_3,11/18/10,3,0.4422,-39.7900000000000000
Elevated,2_3,11/18/10,4,0.5137,-40.0900000000000000
Elevated,2_3,11/18/10,5,1.0832,-40.8700000000000000
Elevated,3_1,11/18/10,1,0.4349,-37.4300000000000000
Elevated,3_1,11/18/10,2,0.5292,-36.6500000000000000
Elevated,3_1,11/18/10,3,0.3935,-37.9100000000000000
Elevated,3_1,11/18/10,4,0.8066,-40.4600000000000000
Elevated,3_1,11/18/10,5,0.7609,-37.0000000000000000
Elevated,4_2,11/18/10,1,0.3628,-39.5600000000000000
Elevated,4_2,11/18/10,2,0.4139,-39.8800000000000000
Elevated,4_2,11/18/10,3,0.4829,-39.8600000000000000
Elevated,4_2,11/18/10,4,0.8613,-40.2700000000000000
Elevated,4_2,11/18/10,5,1.346,-38.6800000000000000
Elevated,7_3,11/18/10,1,0.4634,-36.5500000000000000
Elevated,7_3,11/18/10,2,0.3833,-36.4100000000000000
Elevated,7_3,11/18/10,3,0.488,-37.0400000000000000
Elevated,7_3,11/18/10,4,0.5099,-36.7700000000000000
Elevated,7_3,11/18/10,5,0.6555,-36.5400000000000000
Elevated,2_2,1/19/11,1,0.3835,-35.7900000000000000
Elevated,2_2,1/19/11,2,0.3462,-36.7500000000000000
Elevated,2_2,1/19/11,3,0.3762,-37.0300000000000000
Elevated,2_2,1/19/11,4,0.5724,-37.3000000000000000
Elevated,2_2,1/19/11,5,0.9906,-36.8500000000000000
Elevated,3_2,1/19/11,1,0.302,-34.5600000000000000
Elevated,3_2,1/19/11,2,0.3377,-35.5900000000000000
Elevated,3_2,1/19/11,3,0.4219,-37.1700000000000000
Elevated,3_2,1/19/11,4,0.5042,-37.5600000000000000
Elevated,3_2,1/19/11,5,0.8266,-36.5600000000000000
Elevated,4_3,1/19/11,1,0.3318,-37.9600000000000000
Elevated,4_3,1/19/11,2,0.3864,-38.0200000000000000
Elevated,4_3,1/19/11,3,0.4076,-39.1800000000000000
Elevated,4_3,1/19/11,4,0.579,-40.5100000000000000
Elevated,4_3,1/19/11,5,0.7872,-38.8700000000000000
Elevated,7_2,1/19/11,1,0.2809,-36.6600000000000000
Elevated,7_2,1/19/11,2,0.3595,-38.1500000000000000
Elevated,7_2,1/19/11,3,0.4483,-37.4700000000000000
Elevated,7_2,1/19/11,4,0.5521,-38.1500000000000000
Elevated,7_2,1/19/11,5,0.7088,-37.4400000000000000
Elevated,2_3,1/19/11,1,0.4513,-39.2700000000000000
Elevated,2_3,1/19/11,2,0.4014,-40.3200000000000000
Elevated,2_3,1/19/11,3,0.4224,-40.1000000000000000
Elevated,2_3,1/19/11,4,0.4816,-41.3900000000000000
Elevated,2_3,1/19/11,5,0.7296,-39.8100000000000000
Elevated,3_1,1/19/11,1,0.3409,-37.6900000000000000
Elevated,3_1,1/19/11,2,0.3608,-38.5900000000000000
Elevated,3_1,1/19/11,3,0.4189,-37.8700000000000000
Elevated,3_1,1/19/11,4,0.4504,-38.5200000000000000
Elevated,3_1,1/19/11,5,0.7004,-38.0000000000000000
Elevated,4_2,1/19/11,1,0.3666,-37.1800000000000000
Elevated,4_2,1/19/11,2,0.4134,-37.1000000000000000
Elevated,4_2,1/19/11,3,0.4879,-38.3800000000000000
Elevated,4_2,1/19/11,4,0.4817,-37.6300000000000000
Elevated,4_2,1/19/11,5,1.0193,-37.9300000000000000
Elevated,7_3,1/19/11,1,0.388,-35.3000000000000000
Elevated,7_3,1/19/11,2,0.3796,-34.6900000000000000
Elevated,7_3,1/19/11,3,0.4153,-36.0200000000000000
Elevated,7_3,1/19/11,4,0.5341,-36.5400000000000000
Elevated,7_3,1/19/11,5,0.6756,-35.8200000000000000
Ambient,1_2,3/29/11,1,0.3279,-29.3900000000000000
Ambient,1_2,3/29/11,2,0.4283,-29.2700000000000000
Ambient,1_2,3/29/11,3,0.6142,-29.4400000000000000
Ambient,1_2,3/29/11,4,0.6666,-29.2600000000000000
Ambient,1_2,3/29/11,5,0.8989,-30.4800000000000000
Ambient,5_2,3/29/11,1,0.4201,-29.0900000000000000
Ambient,5_2,3/29/11,2,0.47,-28.7800000000000000
Ambient,5_2,3/29/11,3,0.5168,-28.8800000000000000
Ambient,5_2,3/29/11,4,0.6377,-29.1900000000000000
Ambient,5_2,3/29/11,5,0.7785,-29.0900000000000000
Ambient,6_2,3/29/11,1,0.3505,-27.8300000000000000
Ambient,6_2,3/29/11,2,0.3765,-28.0200000000000000
Ambient,6_2,3/29/11,3,0.4975,-30.4500000000000000
Ambient,6_2,3/29/11,4,0.4754,-27.5600000000000000
Ambient,6_2,3/29/11,5,0.4302,-27.3100000000000000
Ambient,1_1,3/29/11,1,0.5666,-29.9100000000000000
Ambient,1_1,3/29/11,2,0.5257,-29.7400000000000000
