Model,rate,Tot_EcoC,Tot_TreeC,Abgr_Biomass,FineRoot_Biomass,SOC,NPP
Century,s,6019,2472,1833,421,1168,114
Century,f,4096,474,426,2,1186,37
ED2uN,s,81065,51704,788,274,29086,1190
ED2uN,f,57869,6387,376,166,32155,1285
ED2lN,s,81012,51663,789,274,29074,1188
ED2lN,f,58177,28159,377,166,29853,1275
Landcarb,s,59351,36044,26423,628,4789,1114
Landcarb,f,62960,35696,26423,280,7584,1303
MC1uN_HF,s,112740,29776,24139,1767,8774,774
MC1uN_HF,f,111050,28075,24173,12,8815,775
MC1uN_WB,s,139750,46591,39507,1816,12371,980
MC1uN_WB,f,138563,45157,39798,12,12486,987
MC1lN_HF,s,66627,20873,16697,1473,6537,679
MC1lN_HF,f,64983,19264,16561,10,6573,680
MC1lN_WB,s,68753,27327,22734,1288,7076,673
MC1lN_WB,f,64791,24302,21236,15,6725,625
MC1lN_HF,m,66958,N/A,17532,N/A,6812,720
MC1lN_WB,m,68925,N/A,23415,N/A,7304,783
